antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Earth'}),frozenset({'Wind & Fire'}),0.006309148264984227,0.0057833859095688745,0.0057833859095688745,0.9166666666666666,158.5,1.0,0.005746897670391784,11.930599369085169,1.0,0.9166666666666666,0.9161819143310418,0.9583333333333333
frozenset({'Wind & Fire'}),frozenset({'Earth'}),0.0057833859095688745,0.006309148264984227,0.0057833859095688745,1.0,158.5,1.0,0.005746897670391784,inf,0.9994711792702273,0.9166666666666666,1.0,0.9583333333333333
frozenset({'Backstreet Boys'}),frozenset({'N Sync'}),0.006309148264984227,0.007360672975814932,0.005257623554153523,0.8333333333333334,113.21428571428572,1.0,0.005211183977019044,5.955835962145112,0.9974603174603175,0.625,0.8320974576271187,0.7738095238095238
frozenset({'N Sync'}),frozenset({'Backstreet Boys'}),0.007360672975814932,0.006309148264984227,0.005257623554153523,0.7142857142857143,113.21428571428572,1.0,0.005211183977019044,3.4779179810725553,0.9985169491525423,0.625,0.7124716553287982,0.7738095238095238
"frozenset({'Fatboy Slim', 'Red Hot Chili Peppers'})",frozenset({'The Prodigy'}),0.005257623554153523,0.008937960042060988,0.005257623554153523,1.0,111.88235294117648,1.0,0.0052106311249103,inf,0.9963002114164905,0.5882352941176471,1.0,0.7941176470588236
frozenset({'The Prodigy'}),"frozenset({'Fatboy Slim', 'Red Hot Chili Peppers'})",0.008937960042060988,0.005257623554153523,0.005257623554153523,0.5882352941176471,111.88235294117646,1.0,0.0052106311249103,2.4158029142256274,1.0,0.5882352941176471,0.5860589478920533,0.7941176470588236
"frozenset({'Kanye West', 'Justin Timberlake'})","frozenset({'JAY Z', 'M.I.A.'})",0.007886435331230283,0.006309148264984227,0.005257623554153523,0.6666666666666667,105.66666666666669,1.0,0.005207866864366581,2.981072555205048,0.998410174880763,0.5882352941176472,0.6645502645502647,0.75
"frozenset({'JAY Z', 'M.I.A.'})","frozenset({'Kanye West', 'Justin Timberlake'})",0.006309148264984227,0.007886435331230283,0.005257623554153523,0.8333333333333334,105.66666666666667,1.0,0.005207866864366581,5.9526813880126195,0.9968253968253968,0.5882352941176472,0.8320084790673027,0.75
"frozenset({'Passenger', 'Kimya Dawson'})","frozenset({'Everything But The Girl', 'St. Vincent'})",0.006834910620399579,0.007360672975814932,0.005257623554153523,0.7692307692307693,104.50549450549451,1.0,0.005207314012257837,4.30143708377147,0.9972472207517206,0.5882352941176471,0.767519556714472,0.7417582417582418
"frozenset({'Everything But The Girl', 'St. Vincent'})","frozenset({'Passenger', 'Kimya Dawson'})",0.007360672975814932,0.006834910620399579,0.005257623554153523,0.7142857142857143,104.50549450549451,1.0,0.005207314012257837,3.476077812828602,0.9977754237288134,0.5882352941176471,0.712319443394086,0.7417582417582418
"frozenset({'Everything But The Girl', 'Kimya Dawson'})","frozenset({'Passenger', 'St. Vincent'})",0.0057833859095688745,0.008937960042060988,0.005257623554153523,0.9090909090909092,101.71122994652407,1.0,0.005205931881985978,10.901682439537339,0.9959280803807509,0.5555555555555557,0.9082710393055221,0.7486631016042782
"frozenset({'Passenger', 'St. Vincent'})","frozenset({'Everything But The Girl', 'Kimya Dawson'})",0.008937960042060988,0.0057833859095688745,0.005257623554153523,0.5882352941176471,101.71122994652407,1.0,0.005205931881985978,2.4145260627910474,0.9990981432360743,0.5555555555555557,0.5858400472827947,0.7486631016042782
"frozenset({'Kimya Dawson', 'St. Vincent'})","frozenset({'Everything But The Girl', 'Passenger'})",0.006309148264984227,0.008412197686645636,0.005257623554153523,0.8333333333333334,99.06250000000001,1.0,0.005204549751714118,5.949526813880127,0.9961904761904762,0.5555555555555557,0.8319194061505832,0.7291666666666667
